"NSFTV.ID","PC1","PC2","PC3","PC4"
623,0.0648,-0.0768,0.0123,-0.0071
624,-0.0302,-0.0086,-0.0718,-0.0177
625,-0.0271,-0.0102,-0.0715,-0.0215
626,0.0689,-0.0623,0.0133,-0.0034
627,-0.0357,-0.0051,-0.0197,-0.0126
630,-0.0127,-0.0192,-0.0551,-0.0206
632,-0.0272,-0.0043,-0.0668,-0.0152
633,0.0556,-0.0502,0.0129,0.0057
634,0.0635,-0.0746,0.0148,-0.0073
244,-0.0194,-0.0131,-0.0023,0.0012
135,-0.0373,-0.0022,-0.0786,-0.0165
326,0.0568,0.0912,-7e-04,-0.0286
37,-0.0292,-0.0104,-0.0649,-0.0099
629,-0.0393,-0.0029,-0.0245,-0.0111
342,-0.0406,-0.0061,-0.0584,-0.0244
319,0.0646,0.1115,0.0031,-0.0341
90,0.0679,-0.0735,0.0101,-5e-04
327,0.0626,0.1074,0.0024,-0.0148
322,0.0625,0.1164,0.001,-0.0374
112,0.0068,0.0334,-0.0128,0.2284
231,0.0673,-0.0782,0.0123,-0.0073
227,0.0577,0.0281,0.0045,0.0223
167,-0.0354,-0.0073,-0.0745,-0.0199
253,-0.0398,-0.0038,-0.0216,-0.0155
246,0.0574,0.1056,0.002,-0.0219
239,-0.0333,-0.0044,-0.0669,-0.0092
397,-0.0294,-0.0079,-0.0681,-0.0094
618,-0.0367,-5e-04,-0.007,-0.0075
373,-0.0027,0.0278,-0.0125,0.2775
260,-0.0038,0.0237,-0.0086,0.1998
338,-0.0502,0.0021,0.0881,-0.0134
249,-0.023,-0.0093,0.0507,-0.0047
388,-0.037,-0.0079,0.0155,-0.0221
365,-0.0488,0.0024,0.0601,-0.0143
307,-0.0482,0.0027,0.0756,-0.0033
21,0.0646,-0.0654,0.0104,0.0023
256,-0.0451,0.0026,0.0668,0.0018
339,0.0676,-0.072,0.0119,-4e-04
133,-0.045,8e-04,0.0353,-7e-04
216,-0.0504,0.0017,0.0889,-0.0124
